ticker,type,contractSymbol,asof_datetime,lastTradeDate_dt,expiration,expiration_dt,days_to_exp,T,S,F,r,q,strike,moneyness,bid,ask,mid,spread,rel_spread,lastPrice,impliedVolatility,volume,openInterest,inTheMoney,currency,weight
SPY,call,SPY251226C00663000,2025-12-18 21:43:21.071521+00:00,2025-12-18 20:49:39+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,663.0,0.9800878512181047,13.0,14.1,13.55,1.0999999999999996,0.08118081180811805,15.05,0.10669838623046876,360.0,155.0,True,USD,0.9090900826453798
SPY,call,SPY251226C00664000,2025-12-18 21:43:21.071521+00:00,2025-12-18 17:40:37+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,664.0,0.9815661134371365,12.28,12.83,12.555,0.5500000000000007,0.043807248108323434,14.0,0.08655698608398438,4.0,490.0,True,USD,1.8181785124027023
SPY,call,SPY251226C00665000,2025-12-18 21:43:21.071521+00:00,2025-12-18 20:53:42+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,665.0,0.9830443756561683,11.42,11.98,11.7,0.5600000000000005,0.04786324786324791,12.83,0.0893645751953125,267.0,537.0,True,USD,1.785711096944468
SPY,call,SPY251226C00666000,2025-12-18 21:43:21.071521+00:00,2025-12-18 21:04:30+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,666.0,0.9845226378752001,10.77,11.59,11.18,0.8200000000000003,0.07334525939177104,11.11,0.10859045715332032,390.0,334.0,True,USD,1.2195107079137704
SPY,call,SPY251226C00667000,2025-12-18 21:43:21.071521+00:00,2025-12-18 21:04:30+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,667.0,0.986000900094232,9.78,10.79,10.285,1.0099999999999998,0.09820126397666502,10.36,0.10877356079101563,104.0,237.0,True,USD,0.9900980296059115
SPY,call,SPY251226C00668000,2025-12-18 21:43:21.071521+00:00,2025-12-18 20:13:15+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,668.0,0.9874791623132638,9.02,10.01,9.515,0.9900000000000002,0.10404624277456649,10.06,0.10877356079101563,60.0,231.0,True,USD,1.0100999897979899
SPY,call,SPY251226C00669000,2025-12-18 21:43:21.071521+00:00,2025-12-18 20:59:13+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,669.0,0.9889574245322956,8.4,9.07,8.735,0.6699999999999999,0.0767029192902118,8.99,0.10328045166015623,71.0,307.0,True,USD,1.492535085768529
SPY,call,SPY251226C00670000,2025-12-18 21:43:21.071521+00:00,2025-12-18 21:05:02+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,670.0,0.9904356867513275,7.63,8.29,7.959999999999999,0.6599999999999993,0.08291457286432152,7.9,0.10199872619628905,1476.0,2160.0,True,USD,1.5151492194708813
SPY,call,SPY251226C00671000,2025-12-18 21:43:21.071521+00:00,2025-12-18 21:01:39+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,671.0,0.9919139489703593,6.96,7.63,7.295,0.6699999999999999,0.09184372858122,7.44,0.10328045166015623,400.0,599.0,True,USD,1.492535085768529
SPY,call,SPY251226C00672000,2025-12-18 21:43:21.071521+00:00,2025-12-18 21:07:08+00:00,2025-12-26,2025-12-26 00:00:00+00:00,7.0948950055439814,0.019438068508339675,676.469970703125,676.469970703125,0.0,0.0,672.0,0.9933922111893911,6.38,6.59,6.484999999999999,0.20999999999999996,0.03238242097147263,6.6,0.09372854522705079,673.0,2138.0,True,USD,4.76188208627578
